Generation,Best Fitness,Mean Fitness,Std Dev
126,492818.44546081463,536018.8026262434,7424.218466345522
127,492818.44546081463,536450.1550511677,7565.51206451295
128,492393.8338644702,535710.1318205711,7918.196704428168
129,492393.8338644702,535902.8818142244,7666.7115766795105
130,492393.8338644702,535872.492653667,7852.402103207471
131,492393.8338644702,536274.5426238887,8056.402012235228
132,492393.8338644702,536102.205275797,7750.92458426426
133,492393.8338644702,534996.0934433596,7835.546027210191
134,492312.7126216286,534724.7775432805,8242.187607876389
135,489627.04508054315,535126.2609187282,8702.636502296036
136,489627.04508054315,535256.2348197958,8156.692724230043
137,488186.7009401034,535281.9025887244,8855.959624317004
138,488186.7009401034,535467.4308285181,8238.770594448148
139,488186.7009401034,536157.1444768717,8243.452522452164
140,488186.7009401034,535319.3809380948,8084.1855340394095
141,488186.7009401034,535665.1584639798,8451.759915714953
142,488186.7009401034,536075.080820638,7574.93672831003
143,488186.7009401034,536002.8532904381,7949.4871112876735
144,488186.7009401034,535915.5462070246,7691.600221722
145,488186.7009401034,536144.5078919665,7876.834300938537
146,488186.7009401034,535972.7444376233,7837.038985650802
147,488186.7009401034,535990.7493817958,8316.53673366554
148,488186.7009401034,535423.8067884725,7780.246779285301
149,488186.7009401034,535765.5150964474,7957.159985630715
150,488186.7009401034,536739.5557625488,7645.175458251118
151,488186.7009401034,535800.4203095048,7348.18450602345
152,488186.7009401034,536530.5594619135,7659.567424129621
153,488186.7009401034,535406.9269006866,7465.276246936816
154,488186.7009401034,536016.5474152117,7833.3288933463755
155,488186.7009401034,535879.7422717809,8189.5844171685685
156,488186.7009401034,535778.1691261292,7432.882524110007
157,488186.7009401034,535741.9294626308,8131.962463850457
158,488186.7009401034,535985.020847569,7786.272194253502
159,488186.7009401034,535473.971431964,7949.916737390466
160,488186.7009401034,535758.5819175085,8460.29405270092
161,488186.7009401034,535849.4636235936,8970.23386705329
162,487834.83673000697,535085.8540922719,8562.968955234206
163,487834.83673000697,535415.17346682,8435.442928541206
164,487834.83673000697,535324.4234497515,8685.393424333864
165,487834.83673000697,535128.1307470691,8854.782682420018
166,487834.83673000697,534982.7876127681,8315.570470627037
167,486646.0375808457,535298.2510963315,8764.217061996551
168,486646.0375808457,535284.1909923167,8840.318619604037
169,486646.0375808457,535412.9443669032,7975.901128804395
170,486646.0375808457,535552.7664900023,7806.704368164478
171,486646.0375808457,535142.6237271163,8251.626783777267
172,486646.0375808457,535989.4576127647,8867.233223868881
173,486646.0375808457,536264.006191344,8002.073373918082
174,486646.0375808457,535524.0166995928,8451.525274678592
175,486646.0375808457,535438.3618236857,8063.22289048045
176,486646.0375808457,535351.8012560111,8241.400931704045
177,486646.0375808457,536427.36031214,8220.838432589533
178,486646.0375808457,536016.0140603794,7597.913155065582
179,486646.0375808457,535868.5295026005,7990.85918584267
180,486646.0375808457,536086.8122274618,8904.011637766687
181,486646.0375808457,534762.4870473936,7904.3409925884225
182,486646.0375808457,535825.058117463,7802.294927095791
183,486646.0375808457,536066.2325395226,8029.832673591817
184,486646.0375808457,535372.1566475364,7969.167698456269
185,486585.33377926063,534690.7757501502,8374.523279541425
186,486585.33377926063,535314.1016477894,8169.785409617983
187,486585.33377926063,535758.9690305536,8316.795559759557
188,486585.33377926063,535379.8799774905,7945.191509927025
189,486585.33377926063,534987.0477140272,8287.92382179702
190,486585.33377926063,534923.7626668916,7906.753747093428
191,486585.33377926063,535622.0898160005,8480.88844130769
192,486585.33377926063,535942.5065753798,9059.69267414903
193,486585.33377926063,535173.2192488266,8802.782591993984
194,486585.33377926063,535876.1350587357,8517.27062250107
195,486585.33377926063,535124.8800247767,8669.53418960559
196,486585.33377926063,535423.955906847,7897.6772142318905
197,486585.33377926063,535748.5526025766,8271.572556558222
198,486585.33377926063,535880.6304338851,7288.582289226249
199,486585.33377926063,535295.2446604696,7568.323067803637
200,486585.33377926063,535574.9908553546,8413.171522524335
201,486420.54996741726,535544.0649647922,8830.92767660668
202,485507.656472001,535758.5162565025,8699.791134114674
203,485507.656472001,535222.8366242112,9111.297142335969
204,485507.656472001,535695.8727228823,9257.259590957607
205,485507.656472001,535960.1759464358,8868.731604337865
