Generation,Best Fitness,Mean Fitness,Std Dev
280,461944.3841632148,511432.94658411207,9138.758290842216
281,461944.3841632148,511545.2782637868,7706.70728463705
282,461821.8550889632,511940.207122278,8123.295661340729
283,461821.8550889632,511311.055372749,8597.017631673558
284,461821.8550889632,512170.7881370826,7074.684350065864
285,461821.8550889632,512148.43797589745,7651.572992815755
286,461821.8550889632,511383.23626588617,7836.905580189163
287,461821.8550889632,511769.6713787413,8050.0034178968945
288,461821.8550889632,511731.424848997,8009.629614410475
289,461821.8550889632,511825.4572792184,7068.396888406426
290,461821.8550889632,511853.8092628679,7799.3931349887425
291,461821.8550889632,511567.88492866576,8292.258795194315
292,461821.8550889632,511355.8729484421,7936.63611534163
293,461821.8550889632,511255.8764524285,7506.568551689966
294,461821.8550889632,511757.0959888403,7851.691373070859
295,461821.8550889632,511463.536375824,8210.211146791567
296,461821.8550889632,511002.8749703378,7782.69782602062
297,461821.8550889632,511087.3389646917,8219.225247626106
298,461821.8550889632,510846.6184479598,7813.999866614002
299,461672.84977566794,511240.9667566638,8388.493745038597
300,461672.84977566794,510934.2598431107,8039.91834041014
301,461672.84977566794,512175.0662526635,7478.677901992284
302,461672.84977566794,511328.7078484066,8086.087733624642
303,461672.84977566794,511922.2071387566,8443.490424286863
304,461672.84977566794,511464.096053466,7427.540104722385
305,461672.84977566794,512143.0431059899,7762.9088258259435
306,461672.84977566794,512420.3706884022,7266.112251893217
307,461672.84977566794,511782.6428019168,7309.055300504774
308,461672.84977566794,511289.6442975719,7744.599633504571
309,461672.84977566794,511364.8408868047,8494.985770995198
310,461672.84977566794,511905.627197164,7892.850162978117
311,461672.84977566794,510888.74673541,7774.469817002758
312,461672.84977566794,511168.1678263931,8288.473884696201
313,461672.84977566794,511619.0859299827,8037.424951980222
314,461672.84977566794,511785.91227196803,7794.241995499567
315,461672.84977566794,511706.42363936396,8439.981052299958
316,461672.84977566794,511170.4450532314,7970.056780276227
317,461672.84977566794,511452.64153044485,8342.511751939956
318,461672.84977566794,511222.78510675754,7350.994913137363
319,461672.84977566794,511242.9979235988,7678.446541610961
320,461463.0664451389,511456.19852212333,8024.556922679959
321,461463.0664451389,511564.786791994,7875.872313596564
322,461463.0664451389,511631.83504420257,8033.824443912524
323,461463.0664451389,511142.1998949506,7751.714097950437
324,461463.0664451389,511473.81481348455,7398.122538775838
325,459624.7994910532,511152.5480593736,8105.068463305707
326,459624.7994910532,511274.45047007315,8367.780680450132
327,459624.7994910532,511855.1590972265,8117.734124492654
328,459624.7994910532,511972.56972865836,7231.758239306594
329,459624.7994910532,511596.2236058019,7913.426350843638
330,458921.74487677903,511855.0660837239,8339.892712254417
