Generation,Best Fitness,Mean Fitness,Std Dev
58,487774.6781131764,524575.1141232984,7562.354505509725
59,487774.6781131764,524445.4677961678,7853.610541144879
60,487774.6781131764,524814.8707578947,7849.266751791647
61,487774.6781131764,524514.9004166402,8141.54238959074
62,487774.6781131764,524270.5261241418,8344.078414396592
63,487774.6781131764,523954.23539534933,7644.476879988704
64,487620.4053114335,524230.3275325012,8050.024728221176
65,487473.5028048222,524446.3090112052,8060.382510133058
66,487473.5028048222,524309.8344267817,7960.94030589904
67,487473.5028048222,524933.4128653508,7582.115211836222
68,487473.5028048222,525142.3451606195,7572.326241260494
69,487473.5028048222,524886.3718037229,7637.38776774714
70,487473.5028048222,524946.4753675497,7489.0589954221605
71,487473.5028048222,525017.6972428069,7031.169713478474
72,487473.5028048222,525144.5547661752,7590.327426413737
73,487473.5028048222,525044.6431543117,7663.830205745593
74,487473.5028048222,524946.7555923611,7644.128836333023
75,487473.5028048222,525247.7521872955,7857.625447817017
76,487473.5028048222,523441.8957156869,7638.585218369229
77,487429.426030808,524899.9932982352,8482.112730772984
78,486491.9169066791,524571.7016418996,8142.584077757203
79,486491.9169066791,523805.3284350492,7751.813173871557
80,485041.1572009106,524796.192051229,8404.305635066474
81,485041.1572009106,524460.2249645938,8057.808761998732
82,485041.1572009106,524787.6474550666,7986.982283439263
83,485041.1572009106,525074.3534217714,7609.897023011795
84,485041.1572009106,525051.9435726055,7281.103194805601
85,485041.1572009106,524859.7322863183,7409.460869844317
86,485041.1572009106,524694.6193464869,7952.826590473626
87,485041.1572009106,524945.8403029598,7302.624310296635
88,485041.1572009106,525088.5978501348,7130.929522189785
89,485041.1572009106,524875.9100543162,7124.239248570161
90,485041.1572009106,524689.6185257697,7188.255989829623
91,485041.1572009106,524688.7674980817,7315.005458906102
92,485041.1572009106,524761.5584473027,7537.177431892243
93,485041.1572009106,524832.8138974734,7765.3105406979785
94,483087.411878163,524376.4571925435,8060.416776672121
95,483087.411878163,524101.24470596097,8678.530588244455
96,483087.411878163,524508.126123742,8206.182978452307
97,483087.411878163,524086.58887933503,7538.326768393849
98,481476.8384581911,524235.462897786,7960.84397820233
99,481476.8384581911,524272.4205835775,8076.506988170191
100,481476.8384581911,524178.049357991,8014.485774527064
101,481476.8384581911,523871.1568548384,8082.9045776132225
102,481180.2935838787,524536.6814300821,8695.351305067867
103,481180.2935838787,524592.2252574889,8767.657310843822
104,481180.2935838787,523966.6203511417,8614.735329703692
105,481180.2935838787,524920.1154418964,8205.714588418125
106,481180.2935838787,525149.978648922,7417.138845297242
107,481180.2935838787,525011.4947816762,7873.539080379692
108,481127.81878349953,524575.7102986923,7935.720311550727
109,480010.0579051584,524290.7258387664,7964.797948345322
110,479042.29498284415,524371.3915017017,8433.148161196394
111,479042.29498284415,524832.6394489246,7246.087993688888
112,479042.29498284415,525015.4520375343,7162.315163916434
113,479042.29498284415,524368.7390223286,7673.8838787046825
114,479042.29498284415,525467.472073537,7494.813693021382
115,479042.29498284415,524522.8913177965,7245.616773046144
116,479042.29498284415,525119.2800486899,7458.6525867526025
117,479042.29498284415,524245.67615769187,7574.677891335353
118,478735.9573048586,524516.2854607485,7825.00116479359
119,478735.9573048586,524739.8777449599,7917.375383284158
120,478735.9573048586,524904.8353626737,8233.36833102422
121,478735.9573048586,524890.8116683754,8183.636465898373
122,478735.9573048586,525186.0838738972,7406.401138629685
123,478735.9573048586,525004.5412095949,7152.855983985244
124,478735.9573048586,524402.2105407799,7528.689555103315
125,478735.9573048586,524885.6253831348,7597.5040142003745
126,478735.9573048586,524642.370365138,7762.798864014962
127,478735.9573048586,523987.9712241381,8438.155678519492
128,478429.20672767126,524476.3681503546,8504.105815501496
129,478429.20672767126,524187.7096058492,9005.79219755229
130,478429.20672767126,524937.5450319267,7680.996481644752
131,478429.20672767126,524273.9215579073,8529.676037806668
132,478429.20672767126,524231.9050125068,8035.575421094689
133,478429.20672767126,524046.353484556,8803.185086585107
134,478429.20672767126,524800.7729700815,8435.954314170935
135,478429.20672767126,524876.8172995554,7970.149188948354
136,476597.72130160406,525146.4814621239,7616.073671945413
137,476597.72130160406,525075.9344301575,7770.835980845233
138,476597.72130160406,524754.4460876676,8407.70139062799
139,476597.72130160406,524961.2200232927,8280.52430484824
140,476597.72130160406,523823.1900205387,8410.005333878727
141,476597.72130160406,525322.1409078098,7886.93810113322
142,476597.72130160406,525125.5264749997,7587.161346913209
143,476597.72130160406,524872.9626015401,8058.2932619154535
144,476597.72130160406,524433.2964369628,7734.092364479265
145,476597.72130160406,524643.8540127709,8451.645165874113
146,476597.72130160406,524693.0967670825,7790.943916701727
147,475872.31116916495,525080.8545827806,7736.285259840735
148,474999.0195209213,524763.2217822797,8150.107190944462
149,474999.0195209213,525444.1304174209,7294.538320333801
150,474999.0195209213,525450.5258034895,7104.850603164366
151,474999.0195209213,524655.9310663993,7280.493250655136
152,474999.0195209213,525589.2789601892,7859.180700622427
153,474750.1041709104,525013.8445421201,7972.068533058763
154,474749.55608930485,524329.3529715921,8737.568172542096
155,474749.55608930485,524422.3483782917,8407.155359277807
156,474748.7899679967,524900.0349538475,7812.580437004513
157,474748.7899679967,525221.7504554586,7464.435252931377
158,474748.7899679967,525131.2659076933,7693.083468196641
159,474748.7899679967,524846.0307541904,7506.699070361955
160,474748.7899679967,525278.1858329633,7121.356367642716
161,474748.7899679967,524657.9266156259,7352.050743993261
162,474748.7899679967,525347.2134750158,7487.082426405345
163,474748.7899679967,524592.5595668918,7667.889707387762
164,473749.9412864379,525086.7940143159,8351.685366245125
165,473749.9412864379,525280.3569548712,8212.256171847115
166,473749.9412864379,524572.4985319831,8766.14245665607
167,473749.9412864379,524821.1538835535,8610.964215713106
168,473749.9412864379,524547.1208384241,8294.125652887324
169,473749.9412864379,524723.167537117,8108.893930060741
170,473749.9412864379,524689.2161879777,8364.07780863541
171,473749.9412864379,524747.431691835,8754.313318758865
172,473749.9412864379,524475.9549136204,8213.627752471702
173,473749.9412864379,523967.8484549444,8599.942444225484
